genesymbol,test_statistic,p-value,padj
Mybl2,14.87428229,0,0
Sorcs3,14.31754475,0,0
Inhba,13.84541829,0,0
Arc,13.72662844,0,0
Lingo1,11.52872361,0,0
Nptx2,11.40559979,0,0
Brinp1,10.81491572,0,0
Blnk,9.383792746,0,0
Vgf,9.342337124,0,0
AA465934,9.200513007,0,0
Tmem2,9.164967128,0,0
Mapk4,9.11705829,0,0
Polr2l,9.077319589,0,0
Rtn4rl1,9.075824684,0,0
Plk2,8.859027682,0,0
Ppapdc1a,8.676929434,0,0
Cit,8.558786735,0,0
Ppp1r8,8.54954183,0,0
Ptprz1,8.537425654,0,0
Rgs7,7.902867244,0,0
Itm2c,-7.872596661,0,0
Brap,7.871862184,0,0
Ttyh1,7.78325261,0,0
Slc6a8,7.701973398,0,0
Nrxn3,7.682277003,0,0
Clasp2,-7.675826845,0,0
Fam19a1,7.668208034,0,0
F730043M19Rik,-7.657010583,0,0
Bdnf,7.610965916,0,0
Tcf7l2,7.579225794,0,0
Tmem59l,-7.542970223,0,0
Dock3,7.526049004,0,0
Pxdn,7.520997127,0,0
Megf11,7.360563465,0,0
Daglb,7.271872899,0,0
Per3,-7.228309968,0,0
Pcdh8,7.185343903,0,0
Epha10,7.134711385,0,0
Tmem181b-ps,-7.131709967,0,0
Opcml,-7.107804357,0,0
Synpo,7.102469382,0,0
Chgb,7.01742504,0,0
Icam5,-7.013188326,0,0
Ccnt2,6.96698688,0,0
Fmnl1,6.923378489,0,0
Kcnk1,6.896380382,0,0
Sult2b1,6.828462093,0,0
Srxn1,6.714481971,0,0
Lin7b,-6.704709413,0,0
Calb1,-6.605922718,0,0
Gtf2b,6.560659605,0,0
Tmem9b,-6.555419878,0,0
Acap2,6.50960444,0,0
Il1rap,-6.415025724,0,0
Faim2,-6.410545934,0,0
Ifrd1,6.336678663,0,0
Abr,6.303843626,0,0
Tcf4,-6.246753894,0,0
Spry2,6.226479878,0,0
Nptxr,6.213681455,0,0
Acan,6.199538746,0,0
Svil,6.105030735,0,0
Ptgs2,6.070821209,0,0
Dlgap2,6.001660902,0,0
Tapbpl,5.984203935,0,0
Mir22hg,5.959107412,0,0
Prrt1,-5.951317388,0,0
Srsf2,-5.949892803,0,0
Cltb,5.945140131,0,0
Dgat2l6,5.918410753,0,0
Grb2,5.865305086,0,0
Nav2,-5.864209278,0,0
Rogdi,-5.864150612,0,0
Col4a1,5.858158967,0,0
Dpysl2,-5.856116611,0,0
Scg2,5.829275186,0,0
Rtn1,-5.812704872,0,0
Dalrd3,-5.805502438,0,0
Pvrl1,5.801224615,0,0
Rgs4,5.75080302,0,0
Churc1,5.736427249,0,0
R3hdm1,5.734017569,0,0
Pdzd2,5.698806179,0,0
Gm14636,5.674477349,0,0
Ski,5.670981379,0,0
Gm11032,5.656340153,0,0
Trim9,5.65466665,0,0
Gm15662,5.647033061,0,0
Elmo1,5.642201607,0,0
Slc24a2,-5.630319802,0,0
Grasp,5.609737701,0,0
Prune2,-5.581730638,0,0
Prnp,-5.577754103,0,0
Ppp1r16b,5.552899089,0,0
Adcy2,-5.546383046,0,0
Dcaf6,-5.528826487,0,0
Gm12088,5.514788769,0,0
Fam126b,5.506996747,0,0
Sstr2,5.480133078,0,0
1810009A15Rik,5.478128686,0,0
Scn2b,-5.476000267,0,0
Nav1,-5.376014669,0,0
